Locus_plate	Col	Row	F_R	Loc	Plate	Forward_P	Reverse_P
DAB-J	3	A	F25-R3	DAB	J	F25	R3
DAB-J	4	A	F25-R4	DAB	J	F25	R4
DAB-J	5	A	F25-R5	DAB	J	F25	R5
DAB-J	6	A	F25-R6	DAB	J	F25	R6
DAB-J	7	A	F25-R7	DAB	J	F25	R7
DAB-J	8	A	F25-R8	DAB	J	F25	R8
DAB-J	9	A	F25-R9	DAB	J	F25	R9
DAB-J	10	A	F25-R10	DAB	J	F25	R10
DAB-J	11	A	F25-R11	DAB	J	F25	R11
DAB-J	12	A	F25-R12	DAB	J	F25	R12
DAB-J	1	B	F26-R1	DAB	J	F26	R1
DAB-J	2	B	F26-R2	DAB	J	F26	R2
DAB-J	3	B	F26-R3	DAB	J	F26	R3
DAB-J	4	B	F26-R4	DAB	J	F26	R4
DAB-J	5	B	F26-R5	DAB	J	F26	R5
DAB-J	6	B	F26-R6	DAB	J	F26	R6
DAB-J	7	B	F26-R7	DAB	J	F26	R7
DAB-J	8	B	F26-R8	DAB	J	F26	R8
DAB-J	9	B	F26-R9	DAB	J	F26	R9
DAB-J	10	B	F26-R10	DAB	J	F26	R10
DAB-J	11	B	F26-R11	DAB	J	F26	R11
DAB-J	12	B	F26-R12	DAB	J	F26	R12
DAB-J	1	C	F27-R1	DAB	J	F27	R1
DAB-J	2	C	F27-R2	DAB	J	F27	R2
DAB-J	3	C	F27-R3	DAB	J	F27	R3
DAB-J	4	C	F27-R4	DAB	J	F27	R4
DAB-J	5	C	F27-R5	DAB	J	F27	R5
DAB-J	6	C	F27-R6	DAB	J	F27	R6
DAB-J	7	C	F27-R7	DAB	J	F27	R7
DAB-J	8	C	F27-R8	DAB	J	F27	R8
DAB-J	9	C	F27-R9	DAB	J	F27	R9
DAB-J	10	C	F27-R10	DAB	J	F27	R10
DAB-J	11	C	F27-R11	DAB	J	F27	R11
DAB-J	12	C	F27-R12	DAB	J	F27	R12
DAB-J	1	D	F28-R1	DAB	J	F28	R1
DAB-J	2	D	F28-R2	DAB	J	F28	R2
DAB-J	3	D	F28-R3	DAB	J	F28	R3
DAB-J	4	D	F28-R4	DAB	J	F28	R4
DAB-J	5	D	F28-R5	DAB	J	F28	R5
DAB-J	6	D	F28-R6	DAB	J	F28	R6
DAB-J	7	D	F28-R7	DAB	J	F28	R7
DAB-J	8	D	F28-R8	DAB	J	F28	R8
DAB-J	9	D	F28-R9	DAB	J	F28	R9
DAB-J	10	D	F28-R10	DAB	J	F28	R10
DAB-J	11	D	F28-R11	DAB	J	F28	R11
DAB-J	12	D	F28-R12	DAB	J	F28	R12
DAB-J	1	E	F29-R1	DAB	J	F29	R1
DAB-J	2	E	F29-R2	DAB	J	F29	R2
DAB-J	3	E	F29-R3	DAB	J	F29	R3
DAB-J	4	E	F29-R4	DAB	J	F29	R4
DAB-J	5	E	F29-R5	DAB	J	F29	R5
DAB-J	6	E	F29-R6	DAB	J	F29	R6
DAB-J	7	E	F29-R7	DAB	J	F29	R7
DAB-J	8	E	F29-R8	DAB	J	F29	R8
DAB-J	9	E	F29-R9	DAB	J	F29	R9
DAB-J	10	E	F29-R10	DAB	J	F29	R10
DAB-J	11	E	F29-R11	DAB	J	F29	R11
DAB-J	12	E	F29-R12	DAB	J	F29	R12
DAB-J	1	F	F30-R1	DAB	J	F30	R1
DAB-J	2	F	F30-R2	DAB	J	F30	R2
DAB-J	3	F	F30-R3	DAB	J	F30	R3
DAB-J	4	F	F30-R4	DAB	J	F30	R4
DAB-J	5	F	F30-R5	DAB	J	F30	R5
DAB-J	6	F	F30-R6	DAB	J	F30	R6
DAB-J	7	F	F30-R7	DAB	J	F30	R7
DAB-J	8	F	F30-R8	DAB	J	F30	R8
DAB-J	9	F	F30-R9	DAB	J	F30	R9
DAB-J	10	F	F30-R10	DAB	J	F30	R10
DAB-J	11	F	F30-R11	DAB	J	F30	R11
DAB-J	12	F	F30-R12	DAB	J	F30	R12
DAB-J	1	G	F31-R1	DAB	J	F31	R1
DAB-J	2	G	F31-R2	DAB	J	F31	R2
DAB-J	3	G	F31-R3	DAB	J	F31	R3
DAB-J	4	G	F31-R4	DAB	J	F31	R4
DAB-J	5	G	F31-R5	DAB	J	F31	R5
DAB-J	6	G	F31-R6	DAB	J	F31	R6
DAB-J	7	G	F31-R7	DAB	J	F31	R7
DAB-J	8	G	F31-R8	DAB	J	F31	R8
DAB-J	9	G	F31-R9	DAB	J	F31	R9
DAB-J	10	G	F31-R10	DAB	J	F31	R10
DAB-J	11	G	F31-R11	DAB	J	F31	R11
DAB-J	12	G	F31-R12	DAB	J	F31	R12
DAB-J	1	H	F32-R1	DAB	J	F32	R1
DAB-J	2	H	F32-R2	DAB	J	F32	R2
DAB-J	3	H	F32-R3	DAB	J	F32	R3
DAB-J	4	H	F32-R4	DAB	J	F32	R4
DAB-J	5	H	F32-R5	DAB	J	F32	R5
DAB-J	6	H	F32-R6	DAB	J	F32	R6
DAB-J	7	H	F32-R7	DAB	J	F32	R7
DAB-J	8	H	F32-R8	DAB	J	F32	R8
DAB-J	9	H	F32-R9	DAB	J	F32	R9
DAB-J	10	H	F32-R10	DAB	J	F32	R10
DAB-J	11	H	F32-R11	DAB	J	F32	R11
DAB-J	12	H	F32-R12	DAB	J	F32	R12
DAB-I	1	A	F17-R25	DAB	I	F17	R25
DAB-I	2	A	F17-R26	DAB	I	F17	R26
DAB-I	3	A	F17-R27	DAB	I	F17	R27
DAB-I	4	A	F17-R28	DAB	I	F17	R28
DAB-I	5	A	F17-R29	DAB	I	F17	R29
DAB-I	6	A	F17-R30	DAB	I	F17	R30
DAB-I	7	A	F17-R31	DAB	I	F17	R31
DAB-I	8	A	F17-R32	DAB	I	F17	R32
DAB-I	9	A	F17-R33	DAB	I	F17	R33
DAB-I	10	A	F17-R34	DAB	I	F17	R34
DAB-I	11	A	F17-R35	DAB	I	F17	R35
DAB-I	12	A	F17-R36	DAB	I	F17	R36
DAB-I	1	B	F18-R25	DAB	I	F18	R25
DAB-I	2	B	F18-R26	DAB	I	F18	R26
DAB-I	3	B	F18-R27	DAB	I	F18	R27
DAB-I	4	B	F18-R28	DAB	I	F18	R28
DAB-I	5	B	F18-R29	DAB	I	F18	R29
DAB-I	6	B	F18-R30	DAB	I	F18	R30
DAB-I	7	B	F18-R31	DAB	I	F18	R31
DAB-I	8	B	F18-R32	DAB	I	F18	R32
DAB-I	9	B	F18-R33	DAB	I	F18	R33
DAB-I	10	B	F18-R34	DAB	I	F18	R34
DAB-I	11	B	F18-R35	DAB	I	F18	R35
DAB-I	12	B	F18-R36	DAB	I	F18	R36
DAB-I	1	C	F19-R25	DAB	I	F19	R25
DAB-I	2	C	F19-R26	DAB	I	F19	R26
DAB-I	3	C	F19-R27	DAB	I	F19	R27
DAB-I	4	C	F19-R28	DAB	I	F19	R28
DAB-I	5	C	F19-R29	DAB	I	F19	R29
DAB-I	6	C	F19-R30	DAB	I	F19	R30
DAB-I	7	C	F19-R31	DAB	I	F19	R31
DAB-I	8	C	F19-R32	DAB	I	F19	R32
DAB-I	9	C	F19-R33	DAB	I	F19	R33
DAB-I	10	C	F19-R34	DAB	I	F19	R34
DAB-I	11	C	F19-R35	DAB	I	F19	R35
DAB-I	12	C	F19-R36	DAB	I	F19	R36
DAB-I	1	D	F20-R25	DAB	I	F20	R25
DAB-I	2	D	F20-R26	DAB	I	F20	R26
DAB-I	3	D	F20-R27	DAB	I	F20	R27
DAB-I	4	D	F20-R28	DAB	I	F20	R28
DAB-I	5	D	F20-R29	DAB	I	F20	R29
DAB-I	6	D	F20-R30	DAB	I	F20	R30
DAB-I	7	D	F20-R31	DAB	I	F20	R31
DAB-I	8	D	F20-R32	DAB	I	F20	R32
DAB-I	9	D	F20-R33	DAB	I	F20	R33
DAB-I	10	D	F20-R34	DAB	I	F20	R34
DAB-I	11	D	F20-R35	DAB	I	F20	R35
DAB-I	12	D	F20-R36	DAB	I	F20	R36
DAB-I	1	E	F21-R25	DAB	I	F21	R25
DAB-I	2	E	F21-R26	DAB	I	F21	R26
DAB-I	3	E	F21-R27	DAB	I	F21	R27
DAB-I	4	E	F21-R28	DAB	I	F21	R28
DAB-I	5	E	F21-R29	DAB	I	F21	R29
DAB-I	6	E	F21-R30	DAB	I	F21	R30
DAB-I	7	E	F21-R31	DAB	I	F21	R31
DAB-I	8	E	F21-R32	DAB	I	F21	R32
DAB-I	9	E	F21-R33	DAB	I	F21	R33
DAB-I	10	E	F21-R34	DAB	I	F21	R34
DAB-I	11	E	F21-R35	DAB	I	F21	R35
DAB-I	12	E	F21-R36	DAB	I	F21	R36
DAB-I	1	F	F22-R25	DAB	I	F22	R25
DAB-I	2	F	F22-R26	DAB	I	F22	R26
DAB-I	3	F	F22-R27	DAB	I	F22	R27
DAB-I	4	F	F22-R28	DAB	I	F22	R28
DAB-I	5	F	F22-R29	DAB	I	F22	R29
DAB-I	6	F	F22-R30	DAB	I	F22	R30
DAB-I	7	F	F22-R31	DAB	I	F22	R31
DAB-I	8	F	F22-R32	DAB	I	F22	R32
DAB-I	9	F	F22-R33	DAB	I	F22	R33
DAB-I	10	F	F22-R34	DAB	I	F22	R34
DAB-I	11	F	F22-R35	DAB	I	F22	R35
DAB-I	12	F	F22-R36	DAB	I	F22	R36
DAB-I	1	G	F23-R25	DAB	I	F23	R25
DAB-I	2	G	F23-R26	DAB	I	F23	R26
DAB-I	3	G	F23-R27	DAB	I	F23	R27
DAB-I	4	G	F23-R28	DAB	I	F23	R28
DAB-I	5	G	F23-R29	DAB	I	F23	R29
DAB-I	6	G	F23-R30	DAB	I	F23	R30
DAB-I	7	G	F23-R31	DAB	I	F23	R31
DAB-I	8	G	F23-R32	DAB	I	F23	R32
DAB-I	9	G	F23-R33	DAB	I	F23	R33
DAB-I	10	G	F23-R34	DAB	I	F23	R34
DAB-I	11	G	F23-R35	DAB	I	F23	R35
DAB-I	12	G	F23-R36	DAB	I	F23	R36
DAB-I	1	H	F24-R25	DAB	I	F24	R25
DAB-I	2	H	F24-R26	DAB	I	F24	R26
DAB-I	3	H	F24-R27	DAB	I	F24	R27
DAB-I	4	H	F24-R28	DAB	I	F24	R28
DAB-I	5	H	F24-R29	DAB	I	F24	R29
DAB-I	6	H	F24-R30	DAB	I	F24	R30
DAB-I	7	H	F24-R31	DAB	I	F24	R31
DAB-I	8	H	F24-R32	DAB	I	F24	R32
DAB-I	9	H	F24-R33	DAB	I	F24	R33
DAB-I	10	H	F24-R34	DAB	I	F24	R34
DAB-I	11	H	F24-R35	DAB	I	F24	R35
DAB-I	12	H	F24-R36	DAB	I	F24	R36
DAB-H	1	A	F17-R13	DAB	H	F17	R13
DAB-H	2	A	F17-R14	DAB	H	F17	R14
DAB-H	3	A	F17-R15	DAB	H	F17	R15
DAB-H	4	A	F17-R16	DAB	H	F17	R16
DAB-H	5	A	F17-R17	DAB	H	F17	R17
DAB-H	6	A	F17-R18	DAB	H	F17	R18
DAB-H	7	A	F17-R19	DAB	H	F17	R19
DAB-H	8	A	F17-R20	DAB	H	F17	R20
DAB-H	9	A	F17-R21	DAB	H	F17	R21
DAB-H	10	A	F17-R22	DAB	H	F17	R22
DAB-H	11	A	F17-R23	DAB	H	F17	R23
DAB-H	12	A	F17-R24	DAB	H	F17	R24
DAB-H	1	B	F18-R13	DAB	H	F18	R13
DAB-H	2	B	F18-R14	DAB	H	F18	R14
DAB-H	3	B	F18-R15	DAB	H	F18	R15
DAB-H	4	B	F18-R16	DAB	H	F18	R16
DAB-H	5	B	F18-R17	DAB	H	F18	R17
DAB-H	6	B	F18-R18	DAB	H	F18	R18
DAB-H	7	B	F18-R19	DAB	H	F18	R19
DAB-H	8	B	F18-R20	DAB	H	F18	R20
DAB-H	9	B	F18-R21	DAB	H	F18	R21
DAB-H	10	B	F18-R22	DAB	H	F18	R22
DAB-H	11	B	F18-R23	DAB	H	F18	R23
DAB-H	12	B	F18-R24	DAB	H	F18	R24
DAB-H	1	C	F19-R13	DAB	H	F19	R13
DAB-H	2	C	F19-R14	DAB	H	F19	R14
DAB-H	3	C	F19-R15	DAB	H	F19	R15
DAB-H	4	C	F19-R16	DAB	H	F19	R16
DAB-H	5	C	F19-R17	DAB	H	F19	R17
DAB-H	6	C	F19-R18	DAB	H	F19	R18
DAB-H	7	C	F19-R19	DAB	H	F19	R19
DAB-H	8	C	F19-R20	DAB	H	F19	R20
DAB-H	9	C	F19-R21	DAB	H	F19	R21
DAB-H	10	C	F19-R22	DAB	H	F19	R22
DAB-H	11	C	F19-R23	DAB	H	F19	R23
