Locus_plate	Col	Row	F_R	Loc	Plate	Forward_P	Reverse_P
DAB-F	12	A	F9-R36	DAB	F	F9	R36
DAB-F	1	B	F10-R25	DAB	F	F10	R25
DAB-F	2	B	F10-R26	DAB	F	F10	R26
DAB-F	3	B	F10-R27	DAB	F	F10	R27
DAB-F	4	B	F10-R28	DAB	F	F10	R28
DAB-F	5	B	F10-R29	DAB	F	F10	R29
DAB-F	6	B	F10-R30	DAB	F	F10	R30
DAB-F	7	B	F10-R31	DAB	F	F10	R31
DAB-F	8	B	F10-R32	DAB	F	F10	R32
DAB-F	9	B	F10-R33	DAB	F	F10	R33
DAB-F	10	B	F10-R34	DAB	F	F10	R34
DAB-F	11	B	F10-R35	DAB	F	F10	R35
DAB-F	12	B	F10-R36	DAB	F	F10	R36
DAB-F	1	C	F11-R25	DAB	F	F11	R25
DAB-F	2	C	F11-R26	DAB	F	F11	R26
DAB-F	3	C	F11-R27	DAB	F	F11	R27
DAB-F	4	C	F11-R28	DAB	F	F11	R28
DAB-F	5	C	F11-R29	DAB	F	F11	R29
DAB-F	6	C	F11-R30	DAB	F	F11	R30
DAB-F	7	C	F11-R31	DAB	F	F11	R31
DAB-F	8	C	F11-R32	DAB	F	F11	R32
DAB-F	9	C	F11-R33	DAB	F	F11	R33
DAB-F	10	C	F11-R34	DAB	F	F11	R34
DAB-F	11	C	F11-R35	DAB	F	F11	R35
DAB-F	12	C	F11-R36	DAB	F	F11	R36
DAB-F	1	D	F12-R25	DAB	F	F12	R25
DAB-F	2	D	F12-R26	DAB	F	F12	R26
DAB-F	3	D	F12-R27	DAB	F	F12	R27
DAB-F	4	D	F12-R28	DAB	F	F12	R28
DAB-F	5	D	F12-R29	DAB	F	F12	R29
DAB-F	6	D	F12-R30	DAB	F	F12	R30
DAB-F	7	D	F12-R31	DAB	F	F12	R31
DAB-F	8	D	F12-R32	DAB	F	F12	R32
DAB-F	9	D	F12-R33	DAB	F	F12	R33
DAB-F	10	D	F12-R34	DAB	F	F12	R34
DAB-F	11	D	F12-R35	DAB	F	F12	R35
DAB-F	12	D	F12-R36	DAB	F	F12	R36
DAB-F	1	E	F13-R25	DAB	F	F13	R25
DAB-F	2	E	F13-R26	DAB	F	F13	R26
DAB-F	3	E	F13-R27	DAB	F	F13	R27
DAB-F	4	E	F13-R28	DAB	F	F13	R28
DAB-F	5	E	F13-R29	DAB	F	F13	R29
DAB-F	6	E	F13-R30	DAB	F	F13	R30
DAB-F	7	E	F13-R31	DAB	F	F13	R31
DAB-F	8	E	F13-R32	DAB	F	F13	R32
DAB-F	9	E	F13-R33	DAB	F	F13	R33
DAB-F	10	E	F13-R34	DAB	F	F13	R34
DAB-F	11	E	F13-R35	DAB	F	F13	R35
DAB-F	12	E	F13-R36	DAB	F	F13	R36
DAB-F	1	F	F14-R25	DAB	F	F14	R25
DAB-F	2	F	F14-R26	DAB	F	F14	R26
DAB-F	3	F	F14-R27	DAB	F	F14	R27
DAB-F	4	F	F14-R28	DAB	F	F14	R28
DAB-F	5	F	F14-R29	DAB	F	F14	R29
DAB-F	6	F	F14-R30	DAB	F	F14	R30
DAB-F	7	F	F14-R31	DAB	F	F14	R31
DAB-F	8	F	F14-R32	DAB	F	F14	R32
DAB-F	9	F	F14-R33	DAB	F	F14	R33
DAB-F	10	F	F14-R34	DAB	F	F14	R34
DAB-F	11	F	F14-R35	DAB	F	F14	R35
DAB-F	12	F	F14-R36	DAB	F	F14	R36
DAB-F	1	G	F15-R25	DAB	F	F15	R25
DAB-F	2	G	F15-R26	DAB	F	F15	R26
DAB-F	3	G	F15-R27	DAB	F	F15	R27
DAB-F	4	G	F15-R28	DAB	F	F15	R28
DAB-F	5	G	F15-R29	DAB	F	F15	R29
DAB-F	6	G	F15-R30	DAB	F	F15	R30
DAB-F	7	G	F15-R31	DAB	F	F15	R31
DAB-F	8	G	F15-R32	DAB	F	F15	R32
DAB-F	9	G	F15-R33	DAB	F	F15	R33
DAB-F	10	G	F15-R34	DAB	F	F15	R34
DAB-F	11	G	F15-R35	DAB	F	F15	R35
DAB-F	12	G	F15-R36	DAB	F	F15	R36
DAB-F	1	H	F16-R25	DAB	F	F16	R25
DAB-F	2	H	F16-R26	DAB	F	F16	R26
DAB-F	3	H	F16-R27	DAB	F	F16	R27
DAB-F	4	H	F16-R28	DAB	F	F16	R28
DAB-F	5	H	F16-R29	DAB	F	F16	R29
DAB-F	6	H	F16-R30	DAB	F	F16	R30
DAB-F	7	H	F16-R31	DAB	F	F16	R31
DAB-F	8	H	F16-R32	DAB	F	F16	R32
DAB-F	9	H	F16-R33	DAB	F	F16	R33
DAB-F	10	H	F16-R34	DAB	F	F16	R34
DAB-F	11	H	F16-R35	DAB	F	F16	R35
DAB-F	12	H	F16-R36	DAB	F	F16	R36
DAB-E	1	A	F9-R13	DAB	E	F9	R13
DAB-E	2	A	F9-R14	DAB	E	F9	R14
DAB-E	3	A	F9-R15	DAB	E	F9	R15
DAB-E	4	A	F9-R16	DAB	E	F9	R16
DAB-E	5	A	F9-R17	DAB	E	F9	R17
DAB-E	6	A	F9-R18	DAB	E	F9	R18
DAB-E	7	A	F9-R19	DAB	E	F9	R19
DAB-E	8	A	F9-R20	DAB	E	F9	R20
DAB-E	9	A	F9-R21	DAB	E	F9	R21
DAB-E	10	A	F9-R22	DAB	E	F9	R22
DAB-E	11	A	F9-R23	DAB	E	F9	R23
DAB-E	12	A	F9-R24	DAB	E	F9	R24
DAB-E	1	B	F10-R13	DAB	E	F10	R13
DAB-E	2	B	F10-R14	DAB	E	F10	R14
DAB-E	3	B	F10-R15	DAB	E	F10	R15
DAB-E	4	B	F10-R16	DAB	E	F10	R16
DAB-E	5	B	F10-R17	DAB	E	F10	R17
DAB-E	6	B	F10-R18	DAB	E	F10	R18
DAB-E	7	B	F10-R19	DAB	E	F10	R19
DAB-E	8	B	F10-R20	DAB	E	F10	R20
DAB-E	9	B	F10-R21	DAB	E	F10	R21
DAB-E	10	B	F10-R22	DAB	E	F10	R22
DAB-E	11	B	F10-R23	DAB	E	F10	R23
DAB-E	12	B	F10-R24	DAB	E	F10	R24
DAB-E	1	C	F11-R13	DAB	E	F11	R13
DAB-E	2	C	F11-R14	DAB	E	F11	R14
DAB-E	3	C	F11-R15	DAB	E	F11	R15
DAB-E	4	C	F11-R16	DAB	E	F11	R16
DAB-E	5	C	F11-R17	DAB	E	F11	R17
DAB-E	6	C	F11-R18	DAB	E	F11	R18
DAB-E	7	C	F11-R19	DAB	E	F11	R19
DAB-E	8	C	F11-R20	DAB	E	F11	R20
DAB-E	9	C	F11-R21	DAB	E	F11	R21
DAB-E	10	C	F11-R22	DAB	E	F11	R22
DAB-E	11	C	F11-R23	DAB	E	F11	R23
DAB-E	12	C	F11-R24	DAB	E	F11	R24
DAB-E	1	D	F12-R13	DAB	E	F12	R13
DAB-E	2	D	F12-R14	DAB	E	F12	R14
DAB-E	3	D	F12-R15	DAB	E	F12	R15
DAB-E	4	D	F12-R16	DAB	E	F12	R16
DAB-E	5	D	F12-R17	DAB	E	F12	R17
DAB-E	6	D	F12-R18	DAB	E	F12	R18
DAB-E	7	D	F12-R19	DAB	E	F12	R19
DAB-E	8	D	F12-R20	DAB	E	F12	R20
DAB-E	9	D	F12-R21	DAB	E	F12	R21
DAB-E	10	D	F12-R22	DAB	E	F12	R22
DAB-E	11	D	F12-R23	DAB	E	F12	R23
DAB-E	12	D	F12-R24	DAB	E	F12	R24
DAB-E	1	E	F13-R13	DAB	E	F13	R13
DAB-E	2	E	F13-R14	DAB	E	F13	R14
DAB-E	3	E	F13-R15	DAB	E	F13	R15
DAB-E	4	E	F13-R16	DAB	E	F13	R16
DAB-E	5	E	F13-R17	DAB	E	F13	R17
DAB-E	6	E	F13-R18	DAB	E	F13	R18
DAB-E	7	E	F13-R19	DAB	E	F13	R19
DAB-E	8	E	F13-R20	DAB	E	F13	R20
DAB-E	9	E	F13-R21	DAB	E	F13	R21
DAB-E	10	E	F13-R22	DAB	E	F13	R22
DAB-E	11	E	F13-R23	DAB	E	F13	R23
DAB-E	12	E	F13-R24	DAB	E	F13	R24
DAB-E	1	F	F14-R13	DAB	E	F14	R13
DAB-E	2	F	F14-R14	DAB	E	F14	R14
DAB-E	3	F	F14-R15	DAB	E	F14	R15
DAB-E	4	F	F14-R16	DAB	E	F14	R16
DAB-E	5	F	F14-R17	DAB	E	F14	R17
DAB-E	6	F	F14-R18	DAB	E	F14	R18
DAB-E	7	F	F14-R19	DAB	E	F14	R19
DAB-E	8	F	F14-R20	DAB	E	F14	R20
DAB-E	9	F	F14-R21	DAB	E	F14	R21
DAB-E	10	F	F14-R22	DAB	E	F14	R22
DAB-E	11	F	F14-R23	DAB	E	F14	R23
DAB-E	12	F	F14-R24	DAB	E	F14	R24
DAB-E	1	G	F15-R13	DAB	E	F15	R13
DAB-E	2	G	F15-R14	DAB	E	F15	R14
DAB-E	3	G	F15-R15	DAB	E	F15	R15
DAB-E	4	G	F15-R16	DAB	E	F15	R16
DAB-E	5	G	F15-R17	DAB	E	F15	R17
DAB-E	6	G	F15-R18	DAB	E	F15	R18
DAB-E	7	G	F15-R19	DAB	E	F15	R19
DAB-E	8	G	F15-R20	DAB	E	F15	R20
DAB-E	9	G	F15-R21	DAB	E	F15	R21
DAB-E	10	G	F15-R22	DAB	E	F15	R22
DAB-E	11	G	F15-R23	DAB	E	F15	R23
DAB-E	12	G	F15-R24	DAB	E	F15	R24
DAB-E	1	H	F16-R13	DAB	E	F16	R13
DAB-E	2	H	F16-R14	DAB	E	F16	R14
DAB-E	3	H	F16-R15	DAB	E	F16	R15
DAB-E	4	H	F16-R16	DAB	E	F16	R16
DAB-E	5	H	F16-R17	DAB	E	F16	R17
DAB-E	6	H	F16-R18	DAB	E	F16	R18
DAB-E	7	H	F16-R19	DAB	E	F16	R19
DAB-E	8	H	F16-R20	DAB	E	F16	R20
DAB-E	9	H	F16-R21	DAB	E	F16	R21
DAB-E	10	H	F16-R22	DAB	E	F16	R22
DAB-E	11	H	F16-R23	DAB	E	F16	R23
DAB-E	12	H	F16-R24	DAB	E	F16	R24
DAB-D	1	A	F9-R1	DAB	D	F9	R1
DAB-D	2	A	F9-R2	DAB	D	F9	R2
DAB-D	3	A	F9-R3	DAB	D	F9	R3
DAB-D	4	A	F9-R4	DAB	D	F9	R4
DAB-D	5	A	F9-R5	DAB	D	F9	R5
DAB-D	6	A	F9-R6	DAB	D	F9	R6
DAB-D	7	A	F9-R7	DAB	D	F9	R7
DAB-D	8	A	F9-R8	DAB	D	F9	R8
DAB-D	9	A	F9-R9	DAB	D	F9	R9
DAB-D	10	A	F9-R10	DAB	D	F9	R10
DAB-D	11	A	F9-R11	DAB	D	F9	R11
DAB-D	12	A	F9-R12	DAB	D	F9	R12
DAB-D	1	B	F10-R1	DAB	D	F10	R1
DAB-D	2	B	F10-R2	DAB	D	F10	R2
DAB-D	3	B	F10-R3	DAB	D	F10	R3
DAB-D	4	B	F10-R4	DAB	D	F10	R4
DAB-D	5	B	F10-R5	DAB	D	F10	R5
DAB-D	6	B	F10-R6	DAB	D	F10	R6
DAB-D	7	B	F10-R7	DAB	D	F10	R7
DAB-D	8	B	F10-R8	DAB	D	F10	R8
DAB-D	9	B	F10-R9	DAB	D	F10	R9
DAB-D	10	B	F10-R10	DAB	D	F10	R10
DAB-D	11	B	F10-R11	DAB	D	F10	R11
DAB-D	12	B	F10-R12	DAB	D	F10	R12
DAB-D	1	C	F11-R1	DAB	D	F11	R1
DAB-D	2	C	F11-R2	DAB	D	F11	R2
DAB-D	3	C	F11-R3	DAB	D	F11	R3
DAB-D	4	C	F11-R4	DAB	D	F11	R4
DAB-D	5	C	F11-R5	DAB	D	F11	R5
DAB-D	6	C	F11-R6	DAB	D	F11	R6
DAB-D	7	C	F11-R7	DAB	D	F11	R7
DAB-D	8	C	F11-R8	DAB	D	F11	R8
DAB-D	9	C	F11-R9	DAB	D	F11	R9
DAB-D	10	C	F11-R10	DAB	D	F11	R10
DAB-D	11	C	F11-R11	DAB	D	F11	R11
DAB-D	12	C	F11-R12	DAB	D	F11	R12
DAB-D	1	D	F12-R1	DAB	D	F12	R1
DAB-D	2	D	F12-R2	DAB	D	F12	R2
DAB-D	3	D	F12-R3	DAB	D	F12	R3
DAB-D	4	D	F12-R4	DAB	D	F12	R4
DAB-D	5	D	F12-R5	DAB	D	F12	R5
DAB-D	6	D	F12-R6	DAB	D	F12	R6
DAB-D	7	D	F12-R7	DAB	D	F12	R7
DAB-D	8	D	F12-R8	DAB	D	F12	R8
DAB-D	9	D	F12-R9	DAB	D	F12	R9
DAB-D	10	D	F12-R10	DAB	D	F12	R10
DAB-D	11	D	F12-R11	DAB	D	F12	R11
DAB-D	12	D	F12-R12	DAB	D	F12	R12
DAB-D	1	E	F13-R1	DAB	D	F13	R1
DAB-D	2	E	F13-R2	DAB	D	F13	R2
DAB-D	3	E	F13-R3	DAB	D	F13	R3
DAB-D	4	E	F13-R4	DAB	D	F13	R4
DAB-D	5	E	F13-R5	DAB	D	F13	R5
DAB-D	6	E	F13-R6	DAB	D	F13	R6
DAB-D	7	E	F13-R7	DAB	D	F13	R7
DAB-D	8	E	F13-R8	DAB	D	F13	R8
DAB-D	9	E	F13-R9	DAB	D	F13	R9
DAB-D	10	E	F13-R10	DAB	D	F13	R10
DAB-D	11	E	F13-R11	DAB	D	F13	R11
DAB-D	12	E	F13-R12	DAB	D	F13	R12
DAB-D	1	F	F14-R1	DAB	D	F14	R1
DAB-D	2	F	F14-R2	DAB	D	F14	R2
DAB-D	3	F	F14-R3	DAB	D	F14	R3
DAB-D	4	F	F14-R4	DAB	D	F14	R4
DAB-D	5	F	F14-R5	DAB	D	F14	R5
DAB-D	6	F	F14-R6	DAB	D	F14	R6
DAB-D	7	F	F14-R7	DAB	D	F14	R7
DAB-D	8	F	F14-R8	DAB	D	F14	R8
DAB-D	9	F	F14-R9	DAB	D	F14	R9
DAB-D	10	F	F14-R10	DAB	D	F14	R10
DAB-D	11	F	F14-R11	DAB	D	F14	R11
DAB-D	12	F	F14-R12	DAB	D	F14	R12
DAB-D	1	G	F15-R1	DAB	D	F15	R1
DAB-D	2	G	F15-R2	DAB	D	F15	R2
DAB-D	3	G	F15-R3	DAB	D	F15	R3
DAB-D	4	G	F15-R4	DAB	D	F15	R4
DAB-D	5	G	F15-R5	DAB	D	F15	R5
DAB-D	6	G	F15-R6	DAB	D	F15	R6
DAB-D	7	G	F15-R7	DAB	D	F15	R7
DAB-D	8	G	F15-R8	DAB	D	F15	R8
DAB-D	9	G	F15-R9	DAB	D	F15	R9
DAB-D	10	G	F15-R10	DAB	D	F15	R10
DAB-D	11	G	F15-R11	DAB	D	F15	R11
DAB-D	12	G	F15-R12	DAB	D	F15	R12
DAB-D	1	H	F16-R1	DAB	D	F16	R1
DAB-D	2	H	F16-R2	DAB	D	F16	R2
DAB-D	3	H	F16-R3	DAB	D	F16	R3
DAB-D	4	H	F16-R4	DAB	D	F16	R4
DAB-D	5	H	F16-R5	DAB	D	F16	R5
DAB-D	6	H	F16-R6	DAB	D	F16	R6
DAB-D	7	H	F16-R7	DAB	D	F16	R7
DAB-D	8	H	F16-R8	DAB	D	F16	R8
DAB-D	9	H	F16-R9	DAB	D	F16	R9
DAB-D	10	H	F16-R10	DAB	D	F16	R10
DAB-D	11	H	F16-R11	DAB	D	F16	R11
DAB-D	12	H	F16-R12	DAB	D	F16	R12
DAB-C	1	A	F1-R25	DAB	C	F1	R25
DAB-C	2	A	F1-R26	DAB	C	F1	R26
DAB-C	3	A	F1-R27	DAB	C	F1	R27
DAB-C	4	A	F1-R28	DAB	C	F1	R28
DAB-C	5	A	F1-R29	DAB	C	F1	R29
DAB-C	6	A	F1-R30	DAB	C	F1	R30
DAB-C	7	A	F1-R31	DAB	C	F1	R31
DAB-C	8	A	F1-R32	DAB	C	F1	R32
DAB-C	9	A	F1-R33	DAB	C	F1	R33
DAB-C	10	A	F1-R34	DAB	C	F1	R34
DAB-C	11	A	F1-R35	DAB	C	F1	R35
DAB-C	12	A	F1-R36	DAB	C	F1	R36
DAB-C	1	B	F2-R25	DAB	C	F2	R25
DAB-C	2	B	F2-R26	DAB	C	F2	R26
DAB-C	3	B	F2-R27	DAB	C	F2	R27
DAB-C	4	B	F2-R28	DAB	C	F2	R28
DAB-C	5	B	F2-R29	DAB	C	F2	R29
DAB-C	6	B	F2-R30	DAB	C	F2	R30
DAB-C	7	B	F2-R31	DAB	C	F2	R31
DAB-C	8	B	F2-R32	DAB	C	F2	R32
DAB-C	9	B	F2-R33	DAB	C	F2	R33
DAB-C	10	B	F2-R34	DAB	C	F2	R34
DAB-C	11	B	F2-R35	DAB	C	F2	R35
DAB-C	12	B	F2-R36	DAB	C	F2	R36
DAB-C	1	C	F3-R25	DAB	C	F3	R25
DAB-C	2	C	F3-R26	DAB	C	F3	R26
DAB-C	3	C	F3-R27	DAB	C	F3	R27
DAB-C	4	C	F3-R28	DAB	C	F3	R28
DAB-C	5	C	F3-R29	DAB	C	F3	R29
DAB-C	6	C	F3-R30	DAB	C	F3	R30
DAB-C	7	C	F3-R31	DAB	C	F3	R31
DAB-C	8	C	F3-R32	DAB	C	F3	R32
DAB-C	9	C	F3-R33	DAB	C	F3	R33
DAB-C	10	C	F3-R34	DAB	C	F3	R34
DAB-C	11	C	F3-R35	DAB	C	F3	R35
DAB-C	12	C	F3-R36	DAB	C	F3	R36
DAB-C	1	D	F4-R25	DAB	C	F4	R25
DAB-C	2	D	F4-R26	DAB	C	F4	R26
DAB-C	3	D	F4-R27	DAB	C	F4	R27
DAB-C	4	D	F4-R28	DAB	C	F4	R28
DAB-C	5	D	F4-R29	DAB	C	F4	R29
DAB-C	6	D	F4-R30	DAB	C	F4	R30
DAB-C	7	D	F4-R31	DAB	C	F4	R31
DAB-C	8	D	F4-R32	DAB	C	F4	R32
DAB-C	9	D	F4-R33	DAB	C	F4	R33
DAB-C	10	D	F4-R34	DAB	C	F4	R34
DAB-C	11	D	F4-R35	DAB	C	F4	R35
DAB-C	12	D	F4-R36	DAB	C	F4	R36
DAB-C	1	E	F5-R25	DAB	C	F5	R25
DAB-C	2	E	F5-R26	DAB	C	F5	R26
DAB-C	3	E	F5-R27	DAB	C	F5	R27
DAB-C	4	E	F5-R28	DAB	C	F5	R28
DAB-C	5	E	F5-R29	DAB	C	F5	R29
DAB-C	6	E	F5-R30	DAB	C	F5	R30
DAB-C	7	E	F5-R31	DAB	C	F5	R31
DAB-C	8	E	F5-R32	DAB	C	F5	R32
DAB-C	9	E	F5-R33	DAB	C	F5	R33
DAB-C	10	E	F5-R34	DAB	C	F5	R34
DAB-C	11	E	F5-R35	DAB	C	F5	R35
DAB-C	12	E	F5-R36	DAB	C	F5	R36
DAB-C	1	F	F6-R25	DAB	C	F6	R25
DAB-C	2	F	F6-R26	DAB	C	F6	R26
DAB-C	3	F	F6-R27	DAB	C	F6	R27
DAB-C	4	F	F6-R28	DAB	C	F6	R28
DAB-C	5	F	F6-R29	DAB	C	F6	R29
DAB-C	6	F	F6-R30	DAB	C	F6	R30
DAB-C	7	F	F6-R31	DAB	C	F6	R31
DAB-C	8	F	F6-R32	DAB	C	F6	R32
DAB-C	9	F	F6-R33	DAB	C	F6	R33
DAB-C	10	F	F6-R34	DAB	C	F6	R34
DAB-C	11	F	F6-R35	DAB	C	F6	R35
DAB-C	12	F	F6-R36	DAB	C	F6	R36
DAB-C	1	G	F7-R25	DAB	C	F7	R25
DAB-C	2	G	F7-R26	DAB	C	F7	R26
DAB-C	3	G	F7-R27	DAB	C	F7	R27
DAB-C	4	G	F7-R28	DAB	C	F7	R28
DAB-C	5	G	F7-R29	DAB	C	F7	R29
DAB-C	6	G	F7-R30	DAB	C	F7	R30
DAB-C	7	G	F7-R31	DAB	C	F7	R31
DAB-C	8	G	F7-R32	DAB	C	F7	R32
DAB-C	9	G	F7-R33	DAB	C	F7	R33
DAB-C	10	G	F7-R34	DAB	C	F7	R34
DAB-C	11	G	F7-R35	DAB	C	F7	R35
DAB-C	12	G	F7-R36	DAB	C	F7	R36
DAB-C	1	H	F8-R25	DAB	C	F8	R25
DAB-C	2	H	F8-R26	DAB	C	F8	R26
DAB-C	3	H	F8-R27	DAB	C	F8	R27
DAB-C	4	H	F8-R28	DAB	C	F8	R28
DAB-C	5	H	F8-R29	DAB	C	F8	R29
DAB-C	6	H	F8-R30	DAB	C	F8	R30
DAB-C	7	H	F8-R31	DAB	C	F8	R31
DAB-C	8	H	F8-R32	DAB	C	F8	R32
DAB-C	9	H	F8-R33	DAB	C	F8	R33
DAB-C	10	H	F8-R34	DAB	C	F8	R34
DAB-C	11	H	F8-R35	DAB	C	F8	R35
DAB-C	12	H	F8-R36	DAB	C	F8	R36
DAB-B	1	A	F1-R13	DAB	B	F1	R13
DAB-B	2	A	F1-R14	DAB	B	F1	R14
DAB-B	3	A	F1-R15	DAB	B	F1	R15
DAB-B	4	A	F1-R16	DAB	B	F1	R16
DAB-B	5	A	F1-R17	DAB	B	F1	R17
DAB-B	6	A	F1-R18	DAB	B	F1	R18
DAB-B	7	A	F1-R19	DAB	B	F1	R19
DAB-B	8	A	F1-R20	DAB	B	F1	R20
DAB-B	9	A	F1-R21	DAB	B	F1	R21
DAB-B	10	A	F1-R22	DAB	B	F1	R22
DAB-B	11	A	F1-R23	DAB	B	F1	R23
DAB-B	12	A	F1-R24	DAB	B	F1	R24
DAB-B	1	B	F2-R13	DAB	B	F2	R13
DAB-B	2	B	F2-R14	DAB	B	F2	R14
DAB-B	3	B	F2-R15	DAB	B	F2	R15
DAB-B	4	B	F2-R16	DAB	B	F2	R16
DAB-B	5	B	F2-R17	DAB	B	F2	R17
DAB-B	6	B	F2-R18	DAB	B	F2	R18
DAB-B	7	B	F2-R19	DAB	B	F2	R19
DAB-B	8	B	F2-R20	DAB	B	F2	R20
DAB-B	9	B	F2-R21	DAB	B	F2	R21
DAB-B	10	B	F2-R22	DAB	B	F2	R22
DAB-B	11	B	F2-R23	DAB	B	F2	R23
DAB-B	12	B	F2-R24	DAB	B	F2	R24
DAB-B	1	C	F3-R13	DAB	B	F3	R13
DAB-B	2	C	F3-R14	DAB	B	F3	R14
DAB-B	3	C	F3-R15	DAB	B	F3	R15
DAB-B	4	C	F3-R16	DAB	B	F3	R16
DAB-B	5	C	F3-R17	DAB	B	F3	R17
DAB-B	6	C	F3-R18	DAB	B	F3	R18
DAB-B	7	C	F3-R19	DAB	B	F3	R19
DAB-B	8	C	F3-R20	DAB	B	F3	R20
DAB-B	9	C	F3-R21	DAB	B	F3	R21
DAB-B	10	C	F3-R22	DAB	B	F3	R22
DAB-B	11	C	F3-R23	DAB	B	F3	R23
DAB-B	12	C	F3-R24	DAB	B	F3	R24
DAB-B	1	D	F4-R13	DAB	B	F4	R13
DAB-B	2	D	F4-R14	DAB	B	F4	R14
DAB-B	3	D	F4-R15	DAB	B	F4	R15
DAB-B	4	D	F4-R16	DAB	B	F4	R16
DAB-B	5	D	F4-R17	DAB	B	F4	R17
DAB-B	6	D	F4-R18	DAB	B	F4	R18
DAB-B	7	D	F4-R19	DAB	B	F4	R19
DAB-B	8	D	F4-R20	DAB	B	F4	R20
DAB-B	9	D	F4-R21	DAB	B	F4	R21
DAB-B	10	D	F4-R22	DAB	B	F4	R22
DAB-B	11	D	F4-R23	DAB	B	F4	R23
DAB-B	12	D	F4-R24	DAB	B	F4	R24
DAB-B	1	E	F5-R13	DAB	B	F5	R13
DAB-B	2	E	F5-R14	DAB	B	F5	R14
DAB-B	3	E	F5-R15	DAB	B	F5	R15
DAB-B	4	E	F5-R16	DAB	B	F5	R16
DAB-B	5	E	F5-R17	DAB	B	F5	R17
DAB-B	6	E	F5-R18	DAB	B	F5	R18
DAB-B	7	E	F5-R19	DAB	B	F5	R19
DAB-B	8	E	F5-R20	DAB	B	F5	R20
DAB-B	9	E	F5-R21	DAB	B	F5	R21
DAB-B	10	E	F5-R22	DAB	B	F5	R22
DAB-B	11	E	F5-R23	DAB	B	F5	R23
DAB-B	12	E	F5-R24	DAB	B	F5	R24
DAB-B	1	F	F6-R13	DAB	B	F6	R13
DAB-B	2	F	F6-R14	DAB	B	F6	R14
DAB-B	3	F	F6-R15	DAB	B	F6	R15
DAB-B	4	F	F6-R16	DAB	B	F6	R16
DAB-B	5	F	F6-R17	DAB	B	F6	R17
DAB-B	6	F	F6-R18	DAB	B	F6	R18
DAB-B	7	F	F6-R19	DAB	B	F6	R19
DAB-B	8	F	F6-R20	DAB	B	F6	R20
DAB-B	9	F	F6-R21	DAB	B	F6	R21
DAB-B	10	F	F6-R22	DAB	B	F6	R22
DAB-B	11	F	F6-R23	DAB	B	F6	R23
DAB-B	12	F	F6-R24	DAB	B	F6	R24
DAB-B	1	G	F7-R13	DAB	B	F7	R13
DAB-B	2	G	F7-R14	DAB	B	F7	R14
DAB-B	3	G	F7-R15	DAB	B	F7	R15
DAB-B	4	G	F7-R16	DAB	B	F7	R16
DAB-B	5	G	F7-R17	DAB	B	F7	R17
DAB-B	6	G	F7-R18	DAB	B	F7	R18
DAB-B	7	G	F7-R19	DAB	B	F7	R19
DAB-B	8	G	F7-R20	DAB	B	F7	R20
DAB-B	9	G	F7-R21	DAB	B	F7	R21
DAB-B	10	G	F7-R22	DAB	B	F7	R22
DAB-B	11	G	F7-R23	DAB	B	F7	R23
DAB-B	12	G	F7-R24	DAB	B	F7	R24
DAB-B	1	H	F8-R13	DAB	B	F8	R13
DAB-B	2	H	F8-R14	DAB	B	F8	R14
DAB-B	3	H	F8-R15	DAB	B	F8	R15
DAB-B	4	H	F8-R16	DAB	B	F8	R16
DAB-B	5	H	F8-R17	DAB	B	F8	R17
DAB-B	6	H	F8-R18	DAB	B	F8	R18
DAB-B	7	H	F8-R19	DAB	B	F8	R19
DAB-B	8	H	F8-R20	DAB	B	F8	R20
DAB-B	9	H	F8-R21	DAB	B	F8	R21
DAB-B	10	H	F8-R22	DAB	B	F8	R22
DAB-B	11	H	F8-R23	DAB	B	F8	R23
DAB-B	12	H	F8-R24	DAB	B	F8	R24
DAB-A	1	A	F1-R1	DAB	A	F1	R1
DAB-A	2	A	F1-R2	DAB	A	F1	R2
DAB-A	3	A	F1-R3	DAB	A	F1	R3
DAB-A	4	A	F1-R4	DAB	A	F1	R4
DAB-A	5	A	F1-R5	DAB	A	F1	R5
DAB-A	6	A	F1-R6	DAB	A	F1	R6
DAB-A	7	A	F1-R7	DAB	A	F1	R7
DAB-A	8	A	F1-R8	DAB	A	F1	R8
DAB-A	9	A	F1-R9	DAB	A	F1	R9
DAB-A	10	A	F1-R10	DAB	A	F1	R10
DAB-A	11	A	F1-R11	DAB	A	F1	R11
DAB-A	12	A	F1-R12	DAB	A	F1	R12
DAB-A	1	B	F2-R1	DAB	A	F2	R1
DAB-A	2	B	F2-R2	DAB	A	F2	R2
DAB-A	3	B	F2-R3	DAB	A	F2	R3
DAB-A	4	B	F2-R4	DAB	A	F2	R4
DAB-A	5	B	F2-R5	DAB	A	F2	R5
DAB-A	6	B	F2-R6	DAB	A	F2	R6
DAB-A	7	B	F2-R7	DAB	A	F2	R7
DAB-A	8	B	F2-R8	DAB	A	F2	R8
DAB-A	9	B	F2-R9	DAB	A	F2	R9
DAB-A	10	B	F2-R10	DAB	A	F2	R10
DAB-A	11	B	F2-R11	DAB	A	F2	R11
DAB-A	12	B	F2-R12	DAB	A	F2	R12
DAB-A	1	C	F3-R1	DAB	A	F3	R1
DAB-A	2	C	F3-R2	DAB	A	F3	R2
DAB-A	3	C	F3-R3	DAB	A	F3	R3
DAB-A	4	C	F3-R4	DAB	A	F3	R4
DAB-A	5	C	F3-R5	DAB	A	F3	R5
